countryName,pollutant,reportingYear,emissions
Finland,PCDD + PCDF (dioxins + furans) (as Teq),2016,0.0133
Finland,Mercury and compounds (as Hg),2017,304.4
Finland,Methane (CH4),2017,22261000
Finland,Zinc and compounds (as Zn),2017,7433
Finland,Carbon dioxide (CO2) excluding biomass,2019,23118915900
Finland,Nickel and compounds (as Ni),2019,2959.3
Finland,Nitrous oxide (N2O),2019,13369100
Finland,PCDD + PCDF (dioxins + furans) (as Teq),2019,0.058868
Finland,Mercury and compounds (as Hg),2020,158.1
Finland,Methane (CH4),2020,13290000
France,"1,2-dichloroethane (DCE-1,2)",2007,857560
France,Chlorofluorocarbons (CFCs),2007,93330
France,Copper and compounds (as Cu),2008,14609
France,Mercury and compounds (as Hg),2008,3041.8000000000006
France,Naphthalene,2008,7855
France,Nitrogen oxides (NOX),2008,220866000
France,Sulphur oxides (SOX),2008,285806000
France,Trichloroethylene (TRI),2008,140490
France,Zinc and compounds (as Zn),2008,150778
France,"1,1,2,2-tetrachloroethane (TETRACHLOROETHANE-1,1,2,2)",2009,70
France,Ammonia (NH3),2009,16937900
France,Chlorofluorocarbons (CFCs),2010,23985
France,Mercury and compounds (as Hg),2011,2948.2999999999997
France,Naphthalene,2011,4900
France,Nitrogen oxides (NOX),2011,174780000
France,Trichloroethylene (TRI),2011,65330
France,Zinc and compounds (as Zn),2011,108494
France,"1,1,2,2-tetrachloroethane (TETRACHLOROETHANE-1,1,2,2)",2012,127
France,Ammonia (NH3),2012,19984900
France,Hydrogen cyanide (HCN),2012,8697
France,Chlorofluorocarbons (CFCs),2013,1957.4
France,Chromium and compounds (as Cr),2013,8999
France,Sulphur hexafluoride (SF6),2013,6031
France,Mercury and compounds (as Hg),2014,2354.7
France,Nitrogen oxides (NOX),2014,126228000
France,Trichloroethylene (TRI),2014,12200
France,Zinc and compounds (as Zn),2014,88818
France,"1,1,2,2-tetrachloroethane (TETRACHLOROETHANE-1,1,2,2)",2015,56.5
France,Hydrogen cyanide (HCN),2015,163063
France,Chlorine and inorganic compounds (as HCl),2016,540400
France,Chromium and compounds (as Cr),2016,3269
France,Sulphur hexafluoride (SF6),2016,4135
France,Cadmium and compounds (as Cd),2017,1115.4
France,Mercury and compounds (as Hg),2017,1152.1
France,"1,1,2,2-tetrachloroethane (TETRACHLOROETHANE-1,1,2,2)",2018,214
France,Hydro-fluorocarbons (HFCS),2018,152040
France,Hydrogen cyanide (HCN),2018,104762
France,Trichloromethane,2018,20634
France,"1,1,1-trichloroethane (TCE-1,1,1)",2019,4050
France,Chlorine and inorganic compounds (as HCl),2019,495200
Czechia,Chlorine and inorganic compounds (as HCl),2014,466900
Czechia,Lead and compounds (as Pb),2014,14663
Czechia,Nitrous oxide (N2O),2014,897600
Czechia,Polycyclic aromatic hydrocarbons (PAHs),2015,420.7
Czechia,Arsenic and compounds (as As),2016,1485
Czechia,"1,2-dichloroethane (DCE-1,2)",2017,2900
Czechia,Lead and compounds (as Pb),2017,6629
Czechia,Hydrochlorofluorocarbons (HCFCs),2018,56.525
Czechia,Nitrogen oxides (NOX),2018,60967670.45954
Czechia,Non-methane volatile organic compounds (NMVOC),2018,3682606.22
Czechia,Trichloroethylene (TRI),2018,33862
Czechia,Arsenic and compounds (as As),2019,2561.078744
Czechia,Lead and compounds (as Pb),2020,4614.143428
Czechia,Sulphur oxides (SOX),2020,45024420.76829
Denmark,Zinc and compounds (as Zn),2009,746
Denmark,Nitrous oxide (N2O),2011,148500
Denmark,Hydro-fluorocarbons (HFCS),2012,18810
Denmark,Nickel and compounds (as Ni),2013,83.4
Denmark,Particulate matter (PM10),2013,398900
Denmark,Chlorine and inorganic compounds (as HCl),2014,179900
Denmark,Nitrous oxide (N2O),2014,110300
Denmark,Hydro-fluorocarbons (HFCS),2015,193
Denmark,Arsenic and compounds (as As),2016,27
Denmark,Particulate matter (PM10),2016,576900
Denmark,Chlorine and inorganic compounds (as HCl),2017,279400
Denmark,Nitrous oxide (N2O),2017,122900
Denmark,Hydro-fluorocarbons (HFCS),2018,101.2
Denmark,Polycyclic aromatic hydrocarbons (PAHs),2018,440.006618
Denmark,Arsenic and compounds (as As),2019,25.009999999999998
Denmark,Nickel and compounds (as Ni),2019,37.120000000000005
Denmark,Particulate matter (PM10),2019,306273.241559
Denmark,Cadmium and compounds (as Cd),2020,4.7059999999999995
Denmark,Chlorine and inorganic compounds (as HCl),2020,223436
Denmark,Nitrous oxide (N2O),2020,249362.1402
Denmark,Polychlorinated biphenyls (PCBs),2020,0.0018
Denmark,Ammonia (NH3),2021,2147039.023
Denmark,Hydro-fluorocarbons (HFCS),2021,68.2
Denmark,Polycyclic aromatic hydrocarbons (PAHs),2021,0.0042
Estonia,Mercury and compounds (as Hg),2008,520.9
Estonia,Mercury and compounds (as Hg),2011,591
Estonia,Mercury and compounds (as Hg),2014,615.5
Estonia,Particulate matter (PM10),2016,2444000
Estonia,Cadmium and compounds (as Cd),2017,578.4
Estonia,Chlorine and inorganic compounds (as HCl),2017,941000
Estonia,Particulate matter (PM10),2019,1106400
Estonia,Cadmium and compounds (as Cd),2020,118.30000000000001
Estonia,Carbon dioxide (CO2),2020,6872000000
Estonia,Chlorine and inorganic compounds (as HCl),2020,114000
Finland,Copper and compounds (as Cu),2007,3686
Finland,Zinc and compounds (as Zn),2007,10839
Finland,Pentachlorobenzene,2008,640
Finland,Zinc and compounds (as Zn),2010,16965
Finland,Zinc and compounds (as Zn),2013,10220
Finland,Particulate matter (PM10),2014,1255300
Finland,Cadmium and compounds (as Cd),2015,59.300000000000004
Finland,Nitrous oxide (N2O),2015,1607000
Finland,Hydro-fluorocarbons (HFCS),2016,143
Finland,Nickel and compounds (as Ni),2017,4201
Denmark,Fluorine and inorganic compounds (as HF),2015,45270
Denmark,Non-methane volatile organic compounds (NMVOC),2017,8211000
Denmark,PCDD + PCDF (dioxins + furans) (as Teq),2018,0.030423
Denmark,Mercury and compounds (as Hg),2019,57.059200000000004
Denmark,Methane (CH4),2019,14991053.758299999
Denmark,Zinc and compounds (as Zn),2019,19.840000000000003
Denmark,Non-methane volatile organic compounds (NMVOC),2020,1888262.8636
Denmark,PCDD + PCDF (dioxins + furans) (as Teq),2021,0.000711
Estonia,Cadmium and compounds (as Cd),2007,602
Estonia,Carbon dioxide (CO2),2007,14400000000
Estonia,Ammonia (NH3),2008,539600
Estonia,Carbon dioxide (CO2) excluding biomass,2009,9514000000
Estonia,Cadmium and compounds (as Cd),2010,593
Estonia,Carbon dioxide (CO2),2010,13965000000
Estonia,Ammonia (NH3),2011,660800
Estonia,Carbon dioxide (CO2) excluding biomass,2012,12227000000
Estonia,Carbon dioxide (CO2),2013,15667000000
Estonia,Non-methane volatile organic compounds (NMVOC),2013,163000
Estonia,Ammonia (NH3),2014,667700
Estonia,Carbon dioxide (CO2) excluding biomass,2015,2384984000
Estonia,Non-methane volatile organic compounds (NMVOC),2016,754000
Estonia,Ammonia (NH3),2017,854300
Estonia,Carbon dioxide (CO2) excluding biomass,2018,13649427600
Estonia,Carbon monoxide (CO),2018,34887000
Estonia,Zinc and compounds (as Zn),2018,38763
Estonia,Non-methane volatile organic compounds (NMVOC),2019,815000
Estonia,Polychlorinated biphenyls (PCBs),2019,0.14
Estonia,Carbon monoxide (CO),2021,33397000
Estonia,Mercury and compounds (as Hg),2021,155
Estonia,Zinc and compounds (as Zn),2021,9893
Finland,Hexachlorobenzene (HCB),2007,30.7
Finland,Chlorine and inorganic compounds (as HCl),2008,1839600
Finland,Nitrous oxide (N2O),2008,5442600
Finland,Chlorine and inorganic compounds (as HCl),2011,1053700
Finland,Naphthalene,2012,1268
Finland,Nitrogen oxides (NOX),2012,52379000
Finland,Hexachlorobenzene (HCB),2013,10.2
Finland,Naphthalene,2015,787
Finland,Nitrogen oxides (NOX),2015,46173000
Finland,Carbon monoxide (CO),2016,5106000
Finland,Naphthalene,2018,644
Finland,Nitrogen oxides (NOX),2018,45151000
Finland,Carbon monoxide (CO),2019,18329000
Finland,Naphthalene,2021,1120
Finland,Nitrogen oxides (NOX),2021,37499000
France,Trichloromethane,2007,132308
France,Dichloromethane (DCM),2008,1019250
France,Nitrous oxide (N2O),2008,17271600
France,PCDD + PCDF (dioxins + furans) (as Teq),2008,0.03517699999999999
France,Perfluorocarbons (PFCs),2008,39860
France,Polycyclic aromatic hydrocarbons (PAHs),2008,7854.200000000001
France,Tetrachloroethylene,2008,86170
France,Arsenic and compounds (as As),2009,2554.5
France,Nickel and compounds (as Ni),2009,63288.1
France,Particulate matter (PM10),2009,5661500
France,Lead and compounds (as Pb),2010,33345
France,Carbon dioxide (CO2),2011,112885000000
France,Dichloromethane (DCM),2011,488690
France,Nitrous oxide (N2O),2011,6480200
France,Polycyclic aromatic hydrocarbons (PAHs),2011,26944.4
Czechia,Polychlorinated biphenyls (PCBs),2014,0.117
Czechia,"1,2-dichloroethane (DCE-1,2)",2015,4720
Czechia,Dichloromethane (DCM),2016,10680
Czechia,Carbon dioxide (CO2),2017,65641000000
Czechia,Non-methane volatile organic compounds (NMVOC),2017,3278000
Czechia,Naphthalene,2019,211.4
Czechia,Non-methane volatile organic compounds (NMVOC),2020,3386809.079
Czechia,Polychlorinated biphenyls (PCBs),2020,0.10341
Denmark,Nitrous oxide (N2O),2007,260000
Denmark,Hydrogen cyanide (HCN),2009,1190
Denmark,Particulate matter (PM10),2009,405400
Denmark,Chlorine and inorganic compounds (as HCl),2010,519000
Denmark,Nitrous oxide (N2O),2010,197100
Denmark,Hydro-fluorocarbons (HFCS),2011,10900
Denmark,Hydrogen cyanide (HCN),2012,1222
Denmark,Particulate matter (PM10),2012,198000
Denmark,Chlorine and inorganic compounds (as HCl),2013,264600
Denmark,Nitrous oxide (N2O),2013,142200
Denmark,Hydro-fluorocarbons (HFCS),2014,138
Denmark,Particulate matter (PM10),2015,213000
Denmark,Chlorine and inorganic compounds (as HCl),2016,164000
Denmark,Nitrous oxide (N2O),2016,134800
Denmark,Carbon dioxide (CO2),2017,10146000000
Denmark,Hydro-fluorocarbons (HFCS),2017,119
Denmark,Copper and compounds (as Cu),2018,233.54
Denmark,Lead and compounds (as Pb),2018,671.87
Denmark,Chlorine and inorganic compounds (as HCl),2019,200028.8
Denmark,Carbon dioxide (CO2),2020,9048551940.486
Denmark,Copper and compounds (as Cu),2021,10.27
Denmark,Fine particulate matter (PM2.5),2021,285.48
Denmark,Lead and compounds (as Pb),2021,14.65
Estonia,Non-methane volatile organic compounds (NMVOC),2007,1641000
Estonia,Chromium and compounds (as Cr),2008,8240
Estonia,Carbon monoxide (CO),2009,20061000
Estonia,Mercury and compounds (as Hg),2009,403
Estonia,Zinc and compounds (as Zn),2009,33635
Estonia,Non-methane volatile organic compounds (NMVOC),2010,2615000
Estonia,Chromium and compounds (as Cr),2011,9590
Estonia,Carbon monoxide (CO),2012,25790000
Estonia,Mercury and compounds (as Hg),2012,515
Estonia,Zinc and compounds (as Zn),2012,42670
Estonia,Carbon monoxide (CO),2015,28640000
Estonia,Mercury and compounds (as Hg),2015,477.7
Estonia,Zinc and compounds (as Zn),2015,34663
Estonia,Mercury and compounds (as Hg),2018,480.2
Estonia,Ammonia (NH3),2020,856400
Estonia,Particulate matter (PM10),2020,467700
Estonia,Carbon dioxide (CO2) excluding biomass,2021,6376158000
Estonia,Chlorine and inorganic compounds (as HCl),2021,194000
Finland,Carbon monoxide (CO),2007,124054000
Finland,Carbon monoxide (CO),2010,14710000
Finland,Carbon monoxide (CO),2013,5755000
Finland,Hexachlorobenzene (HCB),2016,52
Finland,Particulate matter (PM10),2018,1259200
Finland,Cadmium and compounds (as Cd),2019,10.8
Finland,Hexachlorobenzene (HCB),2019,15.5
Finland,Hydro-fluorocarbons (HFCS),2020,512
Finland,Particulate matter (PM10),2021,1722000
Czechia,Particulate matter (PM10),2017,1938200
Czechia,Carbon dioxide (CO2),2019,63259163599.05102
Czechia,"1,2-dichloroethane (DCE-1,2)",2020,3334
Denmark,Chlorine and inorganic compounds (as HCl),2008,327100
Denmark,Chlorofluorocarbons (CFCs),2008,100
Denmark,Fluorine and inorganic compounds (as HF),2008,308690
Denmark,Hydrochlorofluorocarbons (HCFCs),2008,734
Denmark,Nitrous oxide (N2O),2008,207000
Denmark,Carbon monoxide (CO),2009,4587000
Denmark,Chlorine and inorganic compounds (as HCl),2011,119100
Denmark,Fluorine and inorganic compounds (as HF),2011,161660
Denmark,Particulate matter (PM10),2014,396000
Denmark,Ammonia (NH3),2017,1187500
Denmark,Particulate matter (PM10),2017,144300
Denmark,Copper and compounds (as Cu),2019,60.940000000000005
Denmark,Hydro-fluorocarbons (HFCS),2019,108
Denmark,Ammonia (NH3),2020,2138337.393
Denmark,Di-(2-ethyl hexyl) phthalate (DEHP),2020,0
Denmark,Particulate matter (PM10),2020,299342.265872
Estonia,Carbon dioxide (CO2),2009,9628000000
Estonia,Non-methane volatile organic compounds (NMVOC),2009,1707000
Estonia,Non-methane volatile organic compounds (NMVOC),2012,330000
Estonia,Carbon dioxide (CO2) excluding biomass,2013,14835000000
Estonia,Arsenic and compounds (as As),2014,10097.9
Estonia,Carbon monoxide (CO),2014,25817000
Estonia,Zinc and compounds (as Zn),2014,45794
Estonia,Lead and compounds (as Pb),2015,25743
Estonia,Non-methane volatile organic compounds (NMVOC),2015,223000
Estonia,Carbon dioxide (CO2) excluding biomass,2016,12987915000
Estonia,Chlorine and inorganic compounds (as HCl),2016,1072600
Estonia,Arsenic and compounds (as As),2017,9385.9
Estonia,Carbon monoxide (CO),2017,32400000
Estonia,Mercury and compounds (as Hg),2017,578.6
Estonia,Zinc and compounds (as Zn),2017,43952
Estonia,Lead and compounds (as Pb),2018,28317
Estonia,Carbon dioxide (CO2) excluding biomass,2019,7994850000
Estonia,Chlorine and inorganic compounds (as HCl),2019,541000
Estonia,Arsenic and compounds (as As),2020,72.7
Estonia,Benzene,2020,504000
Estonia,Carbon monoxide (CO),2020,40154000
Estonia,Mercury and compounds (as Hg),2020,102.9
Estonia,Zinc and compounds (as Zn),2020,4109
Estonia,Lead and compounds (as Pb),2021,232
Finland,Chlorine and inorganic compounds (as HCl),2007,1932900
Finland,Fluorine and inorganic compounds (as HF),2007,124730
Finland,Particulate matter (PM10),2010,1590600
Finland,Hydro-fluorocarbons (HFCS),2012,263
Finland,Particulate matter (PM10),2013,1163000
Finland,Particulate matter (PM10),2016,1346900
Finland,Carbon dioxide (CO2),2018,49509000000
Finland,Particulate matter (PM10),2019,936300
Finland,Carbon dioxide (CO2),2021,43837000000
France,Dichloromethane (DCM),2007,1849830
France,Methane (CH4),2007,134899000
France,Particulate matter (PM10),2007,6952000
France,PCDD + PCDF (dioxins + furans) (as Teq),2009,0.025242999999999998
France,Methane (CH4),2010,151720000
France,Particulate matter (PM10),2010,5425100
Czechia,Dichloromethane (DCM),2014,9380
Czechia,Fluorine and inorganic compounds (as HF),2014,242400
Czechia,Polycyclic aromatic hydrocarbons (PAHs),2014,813.2
Czechia,Cadmium and compounds (as Cd),2016,365.3
Czechia,Non-methane volatile organic compounds (NMVOC),2016,3171000
Czechia,Polychlorinated biphenyls (PCBs),2016,0.138
Czechia,Dichloromethane (DCM),2017,11040
Czechia,PCDD + PCDF (dioxins + furans) (as Teq),2017,0.007443999999999999
Czechia,Arsenic and compounds (as As),2018,30852.40637
Czechia,Zinc and compounds (as Zn),2018,5799.766941000001
Czechia,Cadmium and compounds (as Cd),2019,235.352036
Czechia,Lead and compounds (as Pb),2019,5937.387608999999
Czechia,Non-methane volatile organic compounds (NMVOC),2019,4064043.807
Czechia,Polychlorinated biphenyls (PCBs),2019,0.11111
Czechia,Dichloromethane (DCM),2020,6719
Czechia,PCDD + PCDF (dioxins + furans) (as Teq),2020,0.005332999999999999
Denmark,Hydrogen cyanide (HCN),2007,2050
Denmark,Nickel and compounds (as Ni),2008,432
Denmark,Particulate matter (PM10),2008,901400
Denmark,Hydro-fluorocarbons (HFCS),2010,278
Denmark,Hydrogen cyanide (HCN),2010,1284
Denmark,Nickel and compounds (as Ni),2011,1030
Denmark,Particulate matter (PM10),2011,175900
Denmark,Carbon dioxide (CO2),2013,17762000000
Denmark,Hydro-fluorocarbons (HFCS),2013,124
Denmark,Hydrogen cyanide (HCN),2013,850
Denmark,Fluorine and inorganic compounds (as HF),2014,70540
Denmark,Carbon dioxide (CO2),2016,11540000000
Denmark,Fluorine and inorganic compounds (as HF),2017,64140
Denmark,Cadmium and compounds (as Cd),2019,3.1369999999999996
Denmark,Carbon dioxide (CO2),2019,9434044345.407099
Denmark,Non-methane volatile organic compounds (NMVOC),2019,7820402.4037999995
Denmark,Carbon dioxide (CO2) excluding biomass,2020,140926000
Denmark,Fluorine and inorganic compounds (as HF),2020,39023.32307
Estonia,Carbon dioxide (CO2) excluding biomass,2007,14400000000
Estonia,Methane (CH4),2007,4063000
Estonia,Carbon dioxide (CO2) excluding biomass,2010,13684000000
Estonia,Methane (CH4),2010,548000
Estonia,Carbon dioxide (CO2),2012,12737000000
Estonia,Carbon dioxide (CO2),2015,12186000000
Estonia,Ammonia (NH3),2016,846700
Estonia,Carbon dioxide (CO2),2018,14644000000
Estonia,Non-methane volatile organic compounds (NMVOC),2018,510000
Estonia,Ammonia (NH3),2019,1015700
Estonia,Nickel and compounds (as Ni),2020,254.4
Estonia,Carbon dioxide (CO2),2021,8409000000
Estonia,Non-methane volatile organic compounds (NMVOC),2021,105000
Finland,Nitrous oxide (N2O),2007,5548200
Finland,Carbon monoxide (CO),2008,40612000
Finland,Chlorine and inorganic compounds (as HCl),2010,1601000
Finland,Nitrous oxide (N2O),2010,9641900
Finland,Carbon monoxide (CO),2011,12828000
Finland,Chlorine and inorganic compounds (as HCl),2013,1078900
Finland,Nitrous oxide (N2O),2013,1440800
Finland,Carbon monoxide (CO),2014,6558000
Finland,Chlorine and inorganic compounds (as HCl),2016,827300
Finland,Nitrous oxide (N2O),2016,1633700
Finland,Particulate matter (PM10),2017,1537800
Finland,Cadmium and compounds (as Cd),2018,12
Finland,Chlorine and inorganic compounds (as HCl),2018,603200
Finland,Nitrous oxide (N2O),2018,5651200
Finland,Polycyclic aromatic hydrocarbons (PAHs),2019,168.7
Finland,Arsenic and compounds (as As),2020,332.79999999999995
Finland,Hexachlorobenzene (HCB),2020,13.2
Finland,Nickel and compounds (as Ni),2020,2064.9
Finland,Particulate matter (PM10),2020,997200
Finland,Cadmium and compounds (as Cd),2021,37.2
Finland,Chlorine and inorganic compounds (as HCl),2021,428100
Finland,Nitrous oxide (N2O),2021,2381900
France,Hydrochlorofluorocarbons (HCFCs),2007,443061.69999999995
France,Naphthalene,2007,15747
France,Nitrogen oxides (NOX),2007,252399000
France,Non-methane volatile organic compounds (NMVOC),2007,90764000
France,Trichloroethylene (TRI),2007,351730
France,Vinyl chloride,2007,298440
France,Carbon monoxide (CO),2008,221349000
France,Hydrogen cyanide (HCN),2008,8137
France,Chlorofluorocarbons (CFCs),2009,2612.8
France,Chromium and compounds (as Cr),2009,11509
France,Sulphur oxides (SOX),2009,230098000
France,Hydrochlorofluorocarbons (HCFCs),2010,114719.5
France,Nitrogen oxides (NOX),2010,199956000
France,Non-methane volatile organic compounds (NMVOC),2010,65224000
France,Trichloroethylene (TRI),2010,53940
France,Vinyl chloride,2010,263700
France,Carbon monoxide (CO),2011,415101000
France,Hydrogen cyanide (HCN),2011,7015
France,Chromium and compounds (as Cr),2012,9429
France,Mercury and compounds (as Hg),2012,2147.3
France,Sulphur oxides (SOX),2012,178941000
France,"1,1,2,2-tetrachloroethane (TETRACHLOROETHANE-1,1,2,2)",2013,200
France,Carbon monoxide (CO),2014,319685000
France,Hydrogen cyanide (HCN),2014,51249
France,Trichloromethane,2014,67623
France,Chromium and compounds (as Cr),2015,4670
France,Mercury and compounds (as Hg),2015,1691.6000000000001
France,Tetrachloroethylene,2015,55180
France,"1,1,2,2-tetrachloroethane (TETRACHLOROETHANE-1,1,2,2)",2016,143
France,Trichloromethane,2017,35009
France,Chromium and compounds (as Cr),2018,3957
France,Mercury and compounds (as Hg),2018,1084.3
France,Tetrachloroethylene,2018,22990
France,Trichloromethane,2020,35460
France,Cadmium and compounds (as Cd),2021,639.9999989999999
France,Mercury and compounds (as Hg),2021,1105.299999
France,Nitrous oxide (N2O),2021,2943400
France,Tetrachloroethylene,2021,13860
Germany,Chromium and compounds (as Cr),2007,19836
Germany,Mercury and compounds (as Hg),2007,7901.299999999999
Germany,Methane (CH4),2007,315133000
Germany,Sulphur oxides (SOX),2007,295820000
Germany,Carbon monoxide (CO),2009,741116000
Germany,Hydrogen cyanide (HCN),2009,5735
Germany,PCDD + PCDF (dioxins + furans) (as Teq),2009,0.031906
Germany,Chromium and compounds (as Cr),2010,11966
Germany,Mercury and compounds (as Hg),2010,7421.999999999999
Germany,Methane (CH4),2010,216013000
Germany,PCDD + PCDF (dioxins + furans) (as Teq),2012,0.014114000000000002
Austria,Ammonia (NH3),2008,282900
Austria,PCDD + PCDF (dioxins + furans) (as Teq),2008,0.00176
Austria,Methane (CH4),2009,13526000
Austria,Nickel and compounds (as Ni),2009,177
Austria,Ammonia (NH3),2011,210200
Austria,Hydrogen cyanide (HCN),2011,846
Austria,PCDD + PCDF (dioxins + furans) (as Teq),2011,0.00139
Austria,Nickel and compounds (as Ni),2012,303
Austria,Carbon dioxide (CO2),2014,30836000000
Austria,Hydrogen cyanide (HCN),2014,846
Austria,Nickel and compounds (as Ni),2015,420.2
Austria,Carbon dioxide (CO2),2017,22957000000
Austria,Hydrogen cyanide (HCN),2017,846
Austria,Fluorine and inorganic compounds (as HF),2018,6610
Austria,Carbon dioxide (CO2),2020,19740000000
Austria,Non-methane volatile organic compounds (NMVOC),2020,3000000
Belgium,Carbon dioxide (CO2),2007,56804000000
Belgium,Hydrogen cyanide (HCN),2007,51692
Belgium,Polychlorinated biphenyls (PCBs),2007,78.363
Belgium,Trichloromethane,2007,1700
Belgium,Fluorine and inorganic compounds (as HF),2008,133000
Belgium,Tetrachloroethylene,2008,279030
Belgium,Halons,2009,8150
Belgium,Carbon dioxide (CO2),2010,53752000000
Belgium,Non-methane volatile organic compounds (NMVOC),2010,27515000
Belgium,Polychlorinated biphenyls (PCBs),2010,29.722
Belgium,Trichloromethane,2010,14460
Belgium,Dichloromethane (DCM),2011,261810
Belgium,Fluorine and inorganic compounds (as HF),2011,31340
Belgium,Nitrogen oxides (NOX),2011,53393000
Belgium,Tetrachloroethylene,2011,221290
Belgium,Anthracene,2012,2250
Belgium,Non-methane volatile organic compounds (NMVOC),2013,20524000
Belgium,Polychlorinated biphenyls (PCBs),2013,4.326
Belgium,Trichloromethane,2013,6100
Belgium,Dichloromethane (DCM),2014,79950
Belgium,Nitrogen oxides (NOX),2014,42975000
Belgium,Nitrous oxide (N2O),2014,4384000
Belgium,Tetrachloroethylene,2014,154000
Belgium,Arsenic and compounds (as As),2015,411.5
Belgium,Carbon monoxide (CO),2015,180039000
Belgium,Zinc and compounds (as Zn),2015,31730
Belgium,Non-methane volatile organic compounds (NMVOC),2016,16021000
Belgium,Polychlorinated biphenyls (PCBs),2016,31.171
Belgium,Dichloromethane (DCM),2017,31110
Belgium,Nitrogen oxides (NOX),2017,37655000
Belgium,Nitrous oxide (N2O),2017,3647900
Belgium,Tetrachloroethylene,2017,32500
Belgium,Arsenic and compounds (as As),2018,260.5
Belgium,Carbon monoxide (CO),2018,157963000
Belgium,Mercury and compounds (as Hg),2018,804.9
Belgium,Zinc and compounds (as Zn),2018,20337
Belgium,Lead and compounds (as Pb),2019,6495
Belgium,Non-methane volatile organic compounds (NMVOC),2019,13263000
Belgium,Nitrogen oxides (NOX),2020,34695242
Belgium,Nitrous oxide (N2O),2020,2697600
Belgium,Arsenic and compounds (as As),2021,221.2
Belgium,Benzene,2021,64100
Belgium,Carbon monoxide (CO),2021,114675000
Belgium,Mercury and compounds (as Hg),2021,485.7
Belgium,Zinc and compounds (as Zn),2021,15855
Czechia,Methane (CH4),2012,3794000
Czechia,Nickel and compounds (as Ni),2012,4385.4
Czechia,Particulate matter (PM10),2012,3731000
Czechia,Sulphur oxides (SOX),2012,127343000
Czechia,Methane (CH4),2015,2163000
Czechia,Nickel and compounds (as Ni),2015,4186.7
Czechia,Particulate matter (PM10),2015,2775800
Czechia,Sulphur oxides (SOX),2015,98399000
Czechia,"1,2-dichloroethane (DCE-1,2)",2016,2990
Czechia,Hydrogen cyanide (HCN),2017,843
Czechia,Nickel and compounds (as Ni),2018,3266.33251
Czechia,Particulate matter (PM10),2018,2103585.80774
Czechia,Sulphur oxides (SOX),2018,70064024.58601
Czechia,"1,2-dichloroethane (DCE-1,2)",2019,1708
Czechia,Hydrogen cyanide (HCN),2020,323
Denmark,Fluorine and inorganic compounds (as HF),2007,337930
Denmark,Arsenic and compounds (as As),2008,74
Denmark,Zinc and compounds (as Zn),2008,2700
Denmark,Chlorine and inorganic compounds (as HCl),2009,337800
Denmark,Nitrous oxide (N2O),2009,205100
Denmark,Arsenic and compounds (as As),2011,131.1
Denmark,Zinc and compounds (as Zn),2011,745
Denmark,Chlorine and inorganic compounds (as HCl),2012,221600
Denmark,Nitrous oxide (N2O),2012,120400
Denmark,Ammonia (NH3),2013,1260900
Denmark,Arsenic and compounds (as As),2014,58.6
Denmark,Chlorine and inorganic compounds (as HCl),2015,141600
Denmark,Ammonia (NH3),2016,1274200
Denmark,Copper and compounds (as Cu),2017,185
Denmark,Particulate matter (PM10),2018,373234.5336
Denmark,Sulphur oxides (SOX),2018,4425429.5909
Denmark,Ammonia (NH3),2019,1769795.40527
Denmark,Copper and compounds (as Cu),2020,20.73
Denmark,Fine particulate matter (PM2.5),2020,10
Denmark,Hydro-fluorocarbons (HFCS),2020,119
Denmark,Di-(2-ethyl hexyl) phthalate (DEHP),2021,0
Denmark,Nickel and compounds (as Ni),2021,1.5310000000000001
Denmark,Particulate matter (PM10),2021,323560.299582
Denmark,Sulphur oxides (SOX),2021,3049123.6100000003
Estonia,Non-methane volatile organic compounds (NMVOC),2008,1787000
Estonia,Cadmium and compounds (as Cd),2009,403
Estonia,Nitrous oxide (N2O),2009,209000
Estonia,Non-methane volatile organic compounds (NMVOC),2011,298000
Estonia,Cadmium and compounds (as Cd),2012,515
Estonia,Mercury and compounds (as Hg),2013,605
Estonia,Non-methane volatile organic compounds (NMVOC),2014,116000
Estonia,Cadmium and compounds (as Cd),2015,477.4
Estonia,Chlorine and inorganic compounds (as HCl),2015,816000
Estonia,Hydrogen cyanide (HCN),2015,415
Estonia,Benzene,2016,586000
Estonia,Mercury and compounds (as Hg),2016,550.1
Estonia,Chlorine and inorganic compounds (as HCl),2018,832400
Estonia,Benzene,2019,456000
Estonia,Mercury and compounds (as Hg),2019,198.8
Estonia,Copper and compounds (as Cu),2020,390
Finland,Benzene,2008,162850
Finland,Fluorine and inorganic compounds (as HF),2008,465570
Finland,Hydro-fluorocarbons (HFCS),2008,175
Finland,Copper and compounds (as Cu),2009,1465
Germany,Trichloromethane,2012,1920
Germany,Chromium and compounds (as Cr),2013,6846
Germany,Mercury and compounds (as Hg),2013,6984.299999999999
Germany,Methane (CH4),2013,192725000
Germany,Trichloromethane,2015,3457
Germany,Mercury and compounds (as Hg),2016,6564.2
Germany,Trichloromethane,2018,2523
Germany,"1,1,1-trichloroethane (TCE-1,1,1)",2020,153
Germany,Chlorofluorocarbons (CFCs),2020,614.64
Greece,Arsenic and compounds (as As),2007,484.90000000000003
Greece,Chromium and compounds (as Cr),2007,1588
Greece,Mercury and compounds (as Hg),2007,1549.9
Greece,Methane (CH4),2007,26705000
Greece,Dichloromethane (DCM),2009,35990
Greece,Arsenic and compounds (as As),2010,939.2
Greece,Tetrachloromethane (TCM),2010,752
